review,label
"D'Emmanuel Bourdieu, je n'avais vu que le loufoque Intrusions en 2008. Celui-là ne me disait trop rien (et puis Céline...) mais j'avais vu un bout de bande-annonce où Denis Lavant avait l'air d’être génial. J'adore cet acteur, je le trouve formidable. Et c'est encore le cas ici. Il est juste incroyable et incroyablement juste dans le rôle de l'écrivain. Géraldine Pailhas et Philip Desmeules sont parfaits mais lui, tient, porte et sublime tout le film. Film qui est d'ailleurs très réussi. Je m'attendais à quelque chose d'austère voir d'ennuyeux. Et c'est tout le contraire. Tiré de l'oeuvre du personnage principal Milton Hindus, le scénario est une merveille d'intelligence, de cynisme et d'humour. La mise en scène est un peu plus chaotique et nous donne des scènes d'une belle sobriété et d'autres beaucoup plus clownesques (Deux clowns pour une catastrophe, nous dit le sous-titre...). Au final, l'ensemble est assez passionnant et finit même par être fascinant. Un petit film qui va malheureusment passer totalement inaperçu. Assez complexe et pas facile d'accès, certes, mais une œuvre atypique, simplement mais magistralement mise en images et interprétée. Une belle surprise.",1
Une suite qui est très loin d'égalé le premier. L'histoire reprend quelques idées de l'effet papillon mais est bien fade face au premier.,0
"c'est une merveille ! la réalisatrice donne ici la place à l'espoir et ne tombe jamais dans les clichés. Les acteurs sont brillants et attachants on espère que ce film ouvrira la porte à la prise de parole et sera un jour retransmis dans des ""salles de cinéma"" en Arabie Saoudite",1
"Bande-son au top pour ce petit film indépendant des débuts de Ben Stiller qui campe un scénariste de série à Hollywood (en réalité le créateur de Alf) en proie à tous les maléfices de la notoriété. Drogue bien sûr et tous son cortège de comportements délirants allant jusqu’au shoot dans sa voiture en présence de son bébé. Après avoir touché le fond et avoir brisé tous les liens le junkie devenu ex relatera son histoire. On a déjà vu cette histoire plusieurs fois à l’écran mais c’est la performance hallucinante de Ben Stiller qui retient l’attention. Les deux héroïnes sont vraiment craquantes et l’on se demande toujours comment on peut gâcher de telles compagnies, il faut vraiment que miss héroïne soit la plus forte.",1
"Un 5 pour rattraper les autres notes, beaucoup de cliché ou,i mais beaucoup d'humour !! Ne savant pas quoi regarder je m'attendais à une grosse daube, mais non les acteurs sont excellents, je me suis fendu la gueule !! ( à regarder fonscar : approuvé ! )",1
Ce film est juste....,0
"Show TV assez ironique se moquant du conditionnement obligé et des ""infos"" le + souvent entièrement prédigérées avant passage sous spots - ainsi certains portraits cristallisent le voyeurisme people avide et le manque de clairvoyance de certains médias tel la météo téléphonée, le flic-clown et imbécile à l'esprit déviant, ainsi qu'un personnage de vendeuse de glace plutôt bien vu - quand on oublie que la plupart des gags tombent à l'eau du fait d'une fadeur trop convenue: mordant parfois mais lourdaud.",0
"Bien avant le fabuleux Everest, il y eu le catastrophique 101 Reykjavik. En sus d'une Victoria Abril qui exaspère au moindre de ses dialogues, le scénario sombre petit à petit vers un vide abyssal sans fin, rejoint -ou dépassé, à vous de voir-, par la faiblesse des rebondissements. Au final, même si l'on obtient une situation des plus cocasses, ode à la famille recomposée, on aura souffert tout du long. Fort heureusement, le métrage ne dépasse pas les 90 minutes ce qui, en soi, reste déjà bien assez.",0
Un excellent film fantastique de J.J Abrams avec de bons acteurs.,1
"On aurait pu avoir un film à l'absurde jubilatoire et délicieux, dans la lignée des pièces de Ionesco. Hélas, la moitié du scénario, poussive, est à jeter, et Chantal Akerman manque cruellement de fantaisie, n'arrivant jamais à trouver le bon ton et le rythme adéquat. Quant aux acteurs, Sylvie Testud et Aurore Clément en tête, ils sont à baffer, cherchant à être drôles et excessifs alors qu'ils ne sont que pathétiques et ridicules. Seule Elsa Zylberstein parvient avec sa grâce coutumière à sortir la tête haute de cette horrible galère.",0
"Très bonne surprise. Tout est juste, le propos, les acteurs, le scénario. Et la mise en scène est tres réussie. A voir!",1
"Vraiment superbe film avec une belle brochette d'acteur, Lavoine est extra, Darmon exceptionnel, Darroussin saisissant et un Campan comme je ne l'avait jamais vu, très réussit.",1
"S'il faut voir au-delà du délire sur le cannibalisme avec notamment une satire sur le milieu des plus aisés au Brésil, j'ai trouvé le film particulièrement poussif. Otavio et Gilda forment un couple qui appartient à l'élite brésilienne et qui fait partie d'un club privé réunissant des cannibales. Les deux ont pris la fâcheuse habitude de dévorer leurs employés qu'ils tuent après un jeu sexuel et morbide. Tout le film tourne autour de ça comme si on voyait la même chose pendant 80 minutes. L'histoire n'évolue quasiment pas et devient donc vite redondante. Il y a quelques scènes de sexe et de violence qui ponctuent l'intrigue, mais rien de bien ne marchande. Le réalisateur tente de jouer la carte de l'humour noir à de nombreuses reprises, mais là aussi rien qui ne soit vraiment efficace. C'est toute l'histoire de ce film qui propose certaines choses, mais sans vraiment de succès. Personnellement, je m'attendais à beaucoup mieux. C'est un film ennuyeux qui n'est jamais divertissant.",0
Belle chronique familiale particulièrement bien interprétée .,1
"film beaucoup trop prévisible, incroyablement long avec des dialogues très pauvres (on ne compte plus le nombre de ""let's go!"", s'en est risible)",0
"Chaque scène est vue et revue, on a une multitude de clichés, des acteurs en carton... J'avais pas vu un film aussi nul et vain depuis un bail. Passez votre chemin, y a rien à voir. Même pour se divertir et se poser l'esprit, voyez autre chose, là vous allez criser.",0
"très jolie film de beaux cadre, de la belle musique. quelqu'un se rappel le nom du livre de kierkegaard que katrina lit ??? merci beaucoup !",1
"Je viens d'aller voir ce film. Une catastrophe.C'est bon pour la racaille. Scénario grossier et vulgaire , n'amenez pas les enfants. Rien de drôle, je n'ai pas rit du tout et il me tardez qu'une chose , que ça se termine. Comment peut on faire des bides pareil et faire la promotion du film auprès des différentes chaîne TV. N'allez surtout pas le voir , à déconseiller.",0
"Un film d'une intense médiocrité ! Un Benoit Poelvoorde qui sur-joue son personnage, ça en devient énervant. Le cinéma français tombe bien bas, bien qu'il n'a jamais était bien haut ! Je trouve ce film ennuyeux, inutile et fade. B.P. ne colle pas du tout au personnage, il est complètement insipide et mauvais. Ne gaspillez surtout pas votre argent pour ce film qui n'aurait jamais dû être projeté !!",0
"Effets spéciaux sortis tout droit d'un (mauvais) jeu vidéo, des acteurs qui font acte de présence et encore on en demandait pas tant, un scénario...je le cherche encore et on a la une perle du film d'action américain qui est censé nous divertir et.... j'arrete la je perds mon temps pour un navet pareil. Du niveau de Dragon ball evolution qui a le mérite de durer moins longtemps. A éviter si vous avez plus de 2 neurones.",0
"Ce classique est vraiment de bonne tenue. Film rival de Autant en emporte le vent, les deux oeuvres possèdent énormément de points communs. Le gros atout pour moi est l'interprétation générale, Bette Davis et Henry Fonda fabuleux et le reste est du même acabit. Mélodrame qui a plutôt bien vieillit je trouve.",1
"""Meurtres à Carcassonne"" (2014) France 3 le 12.04.2016 Fallait-il déjà reprogrammer ce navet ? Chaque épisode bancal de cette série ressemble un ""copier/ coller"" du précédent, aussi mauvais mais dans une autre ville ! Affligeant ! Les comités du tourisme apprécieront ! Quant à Wolkowitch, il est mauvais, archi-usé dans ce type de rôle et il joue toujours de la même manière. Comment fait-on pour manquer à ce point d'imagination sur France 3 ? Dana Hastier (nouvelle responsable des programmes) mérite de suivre le même chemin qu'elle a tracé pour Julien Lepers ! Extrêmement mauvais, et avec un thème imposé stupide et inintéressant ! willycopresto",0
"Un ton hors-norme, une mise en scène originale, un très bon moment de rigolade dés que l'on rentre dans l'ambiance générale. Bref un trés bon de moment de cinéma absurde, genre rarement tenté dans le paysage français, et rarement autant réussit. Bravo !",1
"Plusieurs portraits de femmes d'aujourd'hui, filmées avec beaucoup de sincérité et de bienveillance. Nous ne sommes pas ""une"" mais ""multiples"". Ainsi, chacune se retrouvera ne serait ce que partiellement dans une de ces histoires. Ce regard masculin sur ses personnages féminins est étonnant de tendresse, de sensibilité et d'amour. En fait qu'importe son ""genre"", le réalisateur perce à jour les femmes de 2018, leurs rêves, leurs peurs, leurs questionnements. Sébastien Bailly, une femme comme les autres?",1
